"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"10158","TE","Scott","Chandler","6.6","1","4900","NE@BUF","NE","BUF","","","",""
"38301","TE","Darren","Fells","16.2","1","4900","ARI@CHI","ARI","CHI","","","",""
"26458","WR","Tavon","Austin","14.5","1","4900","STL@WAS","STL","WAS","","","",""
"14905","WR","Kamar","Aiken","0.4","1","4900","BAL@OAK","BAL","OAK","","","",""
"14757","RB","Matt","Asiata","4.2","1","4900","DET@MIN","MIN","DET","","","",""
"30807","TE","Mychal","Rivera","0.9","1","4900","BAL@OAK","OAK","BAL","","","",""
"22163","WR","Rishard","Matthews","11.4","1","4900","MIA@JAC","MIA","JAC","","","",""
"39900","RB","Khiry","Robinson","9.5","1","4900","TB@NO","NO","TB","","","",""
"12538","D","St Louis","Rams","0","0","4900","STL@WAS","STL","WAS","","","",""
"27134","WR","Dorial","Green-Beckham","0","1","4900","TEN@CLE","TEN","CLE","","","",""
"28080","WR","Devin","Funchess","1.4","1","4900","HOU@CAR","CAR","HOU","","","",""
"6636","K","Mike","Nugent","9","1","4800","SD@CIN","CIN","SD","","","",""
"25272","TE","Eric","Ebron","13.3","1","4800","DET@MIN","DET","MIN","","","",""
"43956","QB","David","Fales","0","0","4800","ARI@CHI","CHI","ARI","","","",""
"26355","QB","Logan","Thomas","3.6","2","4800","MIA@JAC","MIA","JAC","","","",""
"29605","QB","Matt","Barkley","0","1","4800","ARI@CHI","ARI","CHI","","","",""
"22958","RB","Bobby","Rainey","1.9","1","4800","TB@NO","TB","NO","","","",""
"45797","QB","Garrett","Grayson","0","0","4800","TB@NO","NO","TB","","","",""
"47640","RB","Branden","Oliver","2.6","1","4800","SD@CIN","SD","CIN","","","",""
"29445","QB","Sean","Mannion","0","0","4800","STL@WAS","STL","WAS","","","",""
"22994","QB","Case","Keenum","12.4","2","4800","STL@WAS","STL","WAS","","","",""
"10030","WR","Harry","Douglas","9.4","1","4800","TEN@CLE","TEN","CLE","","","",""
"30364","QB","Aaron","Murray","0","0","4800","DEN@KC","KC","DEN","","","",""
"26498","WR","Stedman","Bailey","7.3","1","4800","STL@WAS","STL","WAS","","","",""
"54705","QB","Dustin","Vaughan","0","0","4800","DAL@PHI","DAL","PHI","","","",""
"6387","WR","Miles","Austin","3.2","1","4800","DAL@PHI","PHI","DAL","","","",""
"22774","RB","Jonas","Gray","9.1","8","4800","MIA@JAC","MIA","JAC","","","",""
"11479","RB","Toby","Gerhart","5.1","14","4800","MIA@JAC","JAC","MIA","Q","Abdomen","",""
"24760","QB","Sean","Renfree","0","0","4800","ATL@NYG","ATL","NYG","","","",""
"11500","QB","Colt","McCoy","13.2","5","4800","STL@WAS","WAS","STL","","","",""
"33714","K","Cairo","Santos","10","1","4800","DEN@KC","KC","DEN","","","",""
"8023","QB","Josh","Johnson","0","0","4800","NYJ@IND","NYJ","IND","","","",""
"10354","RB","Marcel","Reece","16.1","1","4800","BAL@OAK","OAK","BAL","","","",""
"22292","RB","Lance","Dunbar","11","1","4800","DAL@PHI","DAL","PHI","","","",""
"7975","RB","Mike","Tolbert","2.3","1","4800","HOU@CAR","CAR","HOU","","","",""
"6810","K","Dan","Carpenter","11","1","4800","NE@BUF","BUF","NE","","","",""
"31798","QB","Bryce","Petty","0","0","4800","NYJ@IND","NYJ","IND","","","",""
"6831","QB","Matt","Hasselbeck","4.2","4","4800","NYJ@IND","IND","NYJ","","","",""
"30788","QB","Tyler","Bray","0","0","4800","DEN@KC","KC","DEN","O","Knee","",""
"6910","K","Robbie","Gould","14","1","4800","ARI@CHI","CHI","ARI","","","",""
"22187","QB","Chandler","Harnish","0","0","4800","ARI@CHI","ARI","CHI","","","",""
